a, an	一个；一
angle	角度；视角
angry	生气的；愤怒的
animal	动物
ankle	脚踝
anniversary	周年纪念
announce	宣布；宣告
announcement	公告；宣布
annoy	使烦恼；打扰
annoyed	恼怒的；烦闷的
annoying	讨厌的；恼人的
annual	每年的；年度的
another	另一个；再一个
answer	回答；答案
anxious	焦虑的；担心的
any	任何的；一些
anybody	任何人
any more	再；还
anyone	任何人
anything	任何事物
anyway	无论如何；反正
anywhere	任何地方
apart	分开；相距
apartment	公寓；套房
apologize	道歉
app	应用程序
apparent	明显的；表面上的
apparently	显然；看来
appeal	吸引；呼吁
appear	出现；似乎
appearance	外貌；出现
apple	苹果
application	申请；应用
apply	申请；应用
appointment	约会；任命
appreciate	感激；欣赏
approach	方法；接近
appropriate	适当的；恰当的
approval	批准；赞成
approve	批准；赞成
approximately	大约；大概
April	四月
architect	建筑师
architecture	建筑学；建筑
area	区域；面积
argue	争论；主张
argument	争论；论点
arise	出现；产生
arm	手臂；胳膊
armed	武装的
arms	武器；手臂
army	军队；陆军
around	大约；在周围
arrange	安排；整理
arrangement	安排；布置
arrest	逮捕；拘留
arrival	到达；到来
arrive	到达；抵达
art	艺术；美术
article	文章；物品
artificial	人工的；人造的
artist	艺术家；画家
artistic	艺术的；有美感的
as	作为；当…时
ashamed	羞愧的；惭愧的
ask	问；要求
asleep	睡着的
aspect	方面
assess	评估；评价
assessment	评估；评价
assignment	任务；作业
assist	帮助；协助
assistant	助手；助理
associate	联系；联想
associated	相关的；关联的
association	协会；联想
assume	假设；认为
at	在；于
athlete	运动员
atmosphere	气氛；大气
attach	附上；连接
attack	攻击；袭击
attempt	尝试；企图
attend	参加；出席
attention	注意；注意力
attitude	态度；看法
attract	吸引；引起
attraction	吸引力；景点
attractive	有吸引力的；迷人的
audience	观众；听众
August	八月
aunt	阿姨；姑姑
author	作者；作家
authority	权威；当局
autumn	秋天；秋季
available	可用的；有空的
average	平均的；普通的
avoid	避免；避开
award	奖品；授予
aware	意识到的；知道的
away	离开；远离
awful	糟糕的；可怕的
baby	婴儿；宝贝
back	后面；回来
background	背景；经历
backwards	向后；倒
bacteria	细菌
bad	坏的；糟糕的
badly	严重地；非常
bag	包；袋子
bake	烤；烘焙
balance	平衡；余额
ball	球；舞会
ban	禁止；禁令
banana	香蕉
band	乐队；带子
bank	银行；河岸
bank	银行；河岸
bar	酒吧；条
barrier	障碍；屏障
base	基础；基地
baseball	棒球
based	以…为基础的
basic	基本的；基础的
basically	基本上；主要地
basis	基础；根据
basketball	篮球
bath	洗澡；浴缸
bathroom	浴室；卫生间
battery	电池
battle	战斗；斗争
be	是；存在
beach	海滩；沙滩
bean	豆子
bear	熊；忍受
bear	熊；忍受
beat	打败；击打
beautiful	美丽的；漂亮的
beauty	美丽；美人
because	因为
become	成为；变成
bed	床；河床
bedroom	卧室
bee	蜜蜂
beef	牛肉
beer	啤酒
before	在…之前
beg	乞求；恳求
begin	开始
beginning	开始；开端
behave	表现；举止
behaviour	行为；举止
behind	在…后面
being	存在；生物
belief	信念；信仰
believe	相信；认为
bell	铃；钟
belong	属于
below	在下面；低于
belt	腰带；皮带
bend	弯曲；弯腰
benefit	好处；受益
bent	弯曲的；决心的
best	最好的；最
bet	打赌；赌注
better	更好的；更好地
between	在…之间
beyond	超过；在…那边
bicycle	自行车
big	大的；重要的
bike	自行车
bill	账单；钞票
billion	十亿
bin	垃圾箱
biology	生物学
bird	鸟
birth	出生；诞生
birthday	生日
biscuit	饼干
bit	一点；少量
bite	咬；一口
bitter	苦的；痛苦的
black	黑色的；黑人
blame	责备；归咎于
blank	空白的；空白
blind	盲的；失明的
block	街区；阻挡
blog	博客
blonde	金发的；金发女郎
blood	血；血液
blow	吹；打击
blue	蓝色的；忧郁的
board	董事会；木板
boat	船；小船
body	身体；主体
boil	煮沸；沸腾
bomb	炸弹；轰炸
bond	纽带；联系
bone	骨头
book	书；预订
boot	靴子；启动
border	边界；边境
bored	无聊的；厌烦的
boring	无聊的；令人厌烦的
born	出生的；天生的
borrow	借；借用
boss	老板；上司
both	两个都；双方
bother	打扰；麻烦
bottle	瓶子
bottom	底部；尽头
bowl	碗；盆
box	盒子；箱子
boy	男孩
boyfriend	男朋友
brain	大脑；头脑
branch	分支；树枝
brand	品牌；牌子
brave	勇敢的
bread	面包
break	打破；休息
breakfast	早餐
breast	胸部；乳房
breath	呼吸；气息
breathe	呼吸
breathing	呼吸
bride	新娘
bridge	桥；桥梁
brief	简短的；摘要
bright	明亮的；聪明的
brilliant	极好的；才华横溢的
bring	带来；拿来
broad	宽阔的；广泛的
broadcast	广播；播放
broken	破碎的；坏掉的
brother	兄弟
brown	棕色的；褐色
brush	刷子；刷
bubble	气泡；泡沫
budget	预算；经费
build	建造；建立
building	建筑物；大楼
bullet	子弹
bunch	一束；一群
burn	燃烧；烧伤
bury	埋葬；埋藏
bus	公共汽车
bush	灌木；灌木丛
business	生意；商业
businessman	商人
busy	忙碌的；忙的
but	但是；除了
butter	黄油
button	按钮；纽扣
buy	买；购买
by	通过；被
bye	再见
cable	电缆；有线电视
cafe	咖啡馆；小餐馆
cake	蛋糕
calculate	计算；估算
call	打电话；呼叫
calm	平静的；镇定的
camera	照相机；相机
camp	营地；露营
campaign	活动；运动
camping	露营；野营
campus	校园
can	能够；罐头
can	能够；罐头
cancel	取消；撤销
cancer	癌症
candidate	候选人；考生
cannot	不能；无法
cap	帽子；盖子
capable	有能力的；能干的
capacity	容量；能力
capital	首都；资本
captain	队长；船长
capture	捕获；俘获
car	汽车；轿车
card	卡片；纸牌
care	关心；照顾
career	职业；事业
careful	小心的；仔细的
carefully	仔细地；小心地
careless	粗心的；疏忽的
carpet	地毯
carrot	胡萝卜
carry	携带；搬运
cartoon	卡通；漫画
case	情况；案例
cash	现金；现款
cast	投掷；演员阵容
castle	城堡
cat	猫
catch	抓住；赶上
category	类别；种类
cause	原因；导致
CD	光盘；激光唱片
ceiling	天花板；上限
celebrate	庆祝；庆贺
celebration	庆祝；庆典
celebrity	名人；明星
cell	细胞；电池
cent	分；一分钱
central	中心的；中央的
centre	中心；中央
century	世纪；百年
ceremony	典礼；仪式
certain	确定的；某些
certainly	当然；肯定
chain	链条；连锁
chair	椅子；主席
chairman	主席；董事长
challenge	挑战；质疑
champion	冠军；拥护者
chance	机会；可能性
change	改变；变化
channel	频道；渠道
chapter	章节；篇章
character	性格；角色
characteristic	特征；特点
charge	收费；指控
charity	慈善；慈善机构
chart	图表；排行榜
chat	聊天；闲谈
cheap	便宜的；廉价的
cheat	欺骗；作弊
check	检查；核对
cheerful	高兴的；快乐的
cheese	奶酪；干酪
chef	厨师；主厨
chemical	化学的；化学品
chemistry	化学
chest	胸部；箱子
chicken	鸡肉；小鸡
chief	主要的；首领
child	孩子；儿童
childhood	童年
chip	芯片；薯条
chocolate	巧克力
choice	选择；抉择
choose	选择；挑选
church	教堂；教会
cigarette	香烟
cinema	电影院；电影
circle	圆圈；圈子
circumstance	情况；环境
cite	引用；引证
citizen	公民；市民
city	城市；都市
civil	公民的；民用的
claim	声称；索赔
class	班级；阶级
classic	经典的；经典作品
classical	古典的；经典的
classroom	教室；课堂
clause	条款；从句
clean	干净的；打扫
clear	清楚的；清澈的
clearly	清楚地；显然
clever	聪明的；机灵的
click	点击；咔嗒声
client	客户；委托人
climate	气候；风气
climb	爬；攀登
clock	时钟；钟
close	关闭；近的
close	关闭；近的
closed	关闭的；封闭的
closely	紧密地；仔细地
cloth	布；布料
clothes	衣服
clothing	服装；衣物
cloud	云；云朵
club	俱乐部；社团
clue	线索；提示
coach	教练；长途汽车
coal	煤；煤炭
coast	海岸；海滨
coat	外套；大衣
code	代码；密码
coffee	咖啡
coin	硬币；钱币
cold	冷的；感冒
collapse	倒塌；崩溃
colleague	同事
collect	收集；采集
collection	收藏品；收集
college	大学；学院
colour	颜色
coloured	有色的；彩色的
column	专栏；柱子
combination	组合；结合
combine	结合；联合
come	来；来到
comedy	喜剧
comfort	舒适；安慰
comfortable	舒适的；舒服的
command	命令；指挥
comment	评论；意见
commercial	商业的；广告
commission	委员会；佣金
commit	承诺；犯罪
commitment	承诺；投入
committee	委员会
common	常见的；普通的
commonly	通常；一般地
communicate	交流；沟通
communication	交流；沟通
community	社区；群体
company	公司；陪伴
compare	比较；对比
comparison	比较；对比
compete	竞争；比赛
competition	竞争；比赛
competitive	竞争的；有竞争力的
competitor	竞争者；对手
complain	抱怨；投诉
complaint	抱怨；投诉
complete	完整的；完成
completely	完全地；彻底地
complex	复杂的；综合体
complicated	复杂的
component	组件；成分
computer	电脑；计算机
concentrate	集中；专心
concentration	集中；浓度
concept	概念；观念
concern	关心；担忧
concerned	关心的；担忧的
concert	音乐会；演唱会
conclude	得出结论；结束
conclusion	结论；结尾
condition	条件；状况
conduct	进行；行为
conference	会议；讨论会
confidence	信心；信任
confident	自信的；有信心的
confirm	确认；证实
conflict	冲突；矛盾
confuse	使困惑；混淆
confused	困惑的；混乱的
confusing	令人困惑的；难懂的
connect	连接；联系
connected	连接的；相关的
connection	连接；关系
conscious	有意识的；清醒的
consequence	后果；结果
conservative	保守的；保守派
consider	考虑；认为
consideration	考虑；体谅
consist	由…组成；在于
consistent	一致的；始终如一的
constant	不断的；恒定的
constantly	不断地；经常地
construct	建造；构建
construction	建设；建筑
consume	消耗；消费
consumer	消费者；用户
contact	联系；接触
contain	包含；容纳
container	容器；集装箱
contemporary	当代的；同时代的
content	内容；满足的
contest	比赛；竞赛
context	上下文；背景
continent	大陆；洲
continue	继续；持续
continuous	连续的；持续的
contract	合同；收缩
contrast	对比；对照
contribute	贡献；促成
contribution	贡献；捐款
control	控制；管理
convenient	方便的
conversation	对话；交谈
convert	转换；转变
convince	说服；使确信
convinced	确信的；信服的
cook	烹饪；厨师
cooker	炊具；炉灶
cooking	烹饪；做饭
cool	凉爽的；酷的
copy	复制；副本
core	核心；中心
corner	角落；拐角
corporate	公司的；企业的
correct	正确的；改正
correctly	正确地
cost	花费；成本
costume	服装；戏服
cottage	小屋；村舍
cotton	棉花；棉
could	能够；可以
council	委员会；议会
count	数；计算
country	国家；乡村
countryside	农村；乡下
county	郡；县
couple	一对；夫妇
courage	勇气；胆量
course	课程；过程
court	法院；球场
cousin	表亲；堂亲
cover	覆盖；封面
covered	覆盖着的
cow	奶牛；母牛
crash	碰撞；坠毁
crazy	疯狂的；狂热的
cream	奶油；乳霜
create	创造；创建
creation	创造；创作
creative	有创造力的；创意的
creature	生物；动物
credit	信用；学分
crew	全体人员；机组人员
crime	罪行；犯罪
criminal	罪犯；犯罪的
crisis	危机；危险期
criterion	标准；准则
critic	评论家；批评者
critical	关键的；批评的
criticism	批评；评论
criticize	批评；指责
crop	庄稼；作物
cross	穿过；十字
crowd	人群；挤满
crowded	拥挤的
crucial	至关重要的；关键的
cruel	残忍的；残酷的
cry	哭；叫喊
cultural	文化的
culture	文化；文明
cup	杯子；奖杯
cupboard	橱柜；衣柜
cure	治愈；疗法
curly	卷曲的
currency	货币；通货
current	当前的；水流
currently	目前；现在
curtain	窗帘；幕布
curve	曲线；弯曲
curved	弯曲的
custom	习俗；风俗
customer	顾客；客户
cut	切；割
cycle	循环；周期
dad	爸爸
daily	每日的；日常的
damage	损害；损坏
dance	跳舞；舞蹈
dancer	舞者；舞蹈演员
dancing	跳舞；舞蹈
danger	危险；风险
dangerous	危险的
dark	黑暗的；深色的
data	数据；资料
date	日期；约会
daughter	女儿
day	天；白天
dead	死的；无生命的
deal	交易；处理
dear	亲爱的；贵的
death	死亡；去世
debate	辩论；争论
debt	债务；欠款
decade	十年
December	十二月
decent	像样的；体面的
decide	决定；下决心
decision	决定；决心
declare	宣布；声明
decline	下降；拒绝
decorate	装饰；布置
decoration	装饰；装饰品
decrease	减少；下降
deep	深的；深刻的
deeply	深深地；非常
defeat	击败；战胜
defence	防御；辩护
defend	保卫；辩护
define	定义；解释
definite	明确的；肯定的
definitely	肯定地；当然
definition	定义；释义
degree	程度；学位
delay	延迟；推迟
deliberate	故意的；深思熟虑的
deliberately	故意地
delicious	美味的；可口的
delight	高兴；使高兴
delighted	高兴的；愉快的
deliver	递送；交付
delivery	递送；交付
demand	要求；需求
demonstrate	证明；演示
dentist	牙医
deny	否认；拒绝
department	部门；系
departure	离开；出发
depend	依靠；取决于
depressed	沮丧的；抑郁的
depressing	令人沮丧的
depth	深度；深奥
describe	描述；形容
description	描述；说明
desert	沙漠；抛弃
deserve	应得；值得
design	设计；图案
designer	设计师
desire	渴望；欲望
desk	书桌；办公桌
desperate	绝望的；拼命的
despite	尽管；不管
destination	目的地；终点
destroy	破坏；摧毁
detail	细节；详情
detailed	详细的；细致的
detect	发现；察觉
detective	侦探
determine	决定；确定
determined	坚定的；坚决的
develop	发展；开发
development	发展；开发
device	设备；装置
diagram	图表；图解
dialogue	对话
diamond	钻石；菱形
diary	日记；日记本
dictionary	字典；词典
die	死；死亡
diet	饮食；节食
difference	差异；不同
different	不同的；各种的
differently	不同地
difficult	困难的；难的
difficulty	困难；难题
dig	挖；掘
digital	数字的；数码的
dinner	晚餐；正餐
direct	直接的；指导
direction	方向；指导
directly	直接地；立即
director	导演；主任
dirt	污垢；泥土
dirty	脏的；肮脏的
disadvantage	缺点；不利条件
disagree	不同意；有分歧
disappear	消失；不见
disappointed	失望的；沮丧的
disappointing	令人失望的
disaster	灾难；灾害
disc	圆盘；唱片
discipline	纪律；学科
discount	折扣；打折
discover	发现；发觉
discovery	发现；发觉
discuss	讨论；商议
discussion	讨论；商议
disease	疾病；病害
dish	盘子；菜肴
dishonest	不诚实的；欺诈的
dislike	不喜欢；厌恶
dismiss	解雇；驳回
display	显示；陈列
distance	距离；远方
distribute	分发；分配
distribution	分布；分配
district	区；地区
divide	分开；划分
division	分割；部门
divorced	离婚的
do	做；干
doctor	医生；博士
document	文件；文档
documentary	纪录片
dog	狗
dollar	美元
domestic	国内的；家庭的
dominate	主导；支配
donate	捐赠；捐献
door	门；门口
double	双倍的；加倍
doubt	怀疑；疑问
down	向下；在下面
download	下载
downstairs	楼下
downwards	向下
dozen	一打；十二个
draft	草稿；草案
drag	拖；拉
drama	戏剧；戏剧性事件
dramatic	戏剧性的；引人注目的
draw	画；拉
drawing	图画；绘画
dream	梦；梦想
dress	连衣裙；穿衣服
dressed	穿着衣服的
drink	喝；饮料
drive	驾驶；开车
driver	司机；驾驶员
driving	驾驶；开车
drop	掉落；下降
drug	药物；毒品
drum	鼓
drunk	喝醉的
dry	干的；干燥的
due	到期的；由于
during	在…期间
dust	灰尘；尘土
duty	责任；义务
DVD	数字化视频光盘
each	每个；各自
ear	耳朵
early	早的；提早
earn	赚得；获得
earth	地球；泥土
earthquake	地震
easily	容易地；轻易地
east	东方；东部
eastern	东方的；东部的
easy	容易的；简单的
eat	吃；吃饭
economic	经济的
economy	经济；节约
edge	边缘；优势
edit	编辑；校订
edition	版本
editor	编辑；编者
educate	教育；培养
educated	受过教育的
education	教育
educational	教育的
effect	效果；影响
effective	有效的；生效的
effectively	有效地
efficient	高效的；有能力的
effort	努力；付出
egg	蛋；鸡蛋
eight	八
eighteen	十八
eighty	八十
either	也；两者之一
elderly	上了年纪的；老年人
elect	选举；推选
election	选举
electric	电的；电动的
electrical	电的；电气的
electricity	电；电力
electronic	电子的
element	元素；要素
elephant	大象
eleven	十一
else	其他的；另外
elsewhere	在别处；到别处
email	电子邮件
embarrassed	尴尬的；窘迫的
embarrassing	令人尴尬的
emerge	出现；浮现
emergency	紧急情况；突发事件
emotion	情感；情绪
emotional	情感的；情绪的
emphasis	强调；重点
emphasize	强调；着重
employ	雇用；使用
employee	雇员；员工
employer	雇主；老板
employment	就业；雇用
empty	空的；倒空
enable	使能够；使成为可能
encounter	遇到；遭遇
encourage	鼓励；激励
end	结束；末端
ending	结局；结尾
enemy	敌人；仇敌
energy	能量；精力
engage	参与；从事
engaged	忙碌的；已订婚的
engine	发动机；引擎
engineer	工程师
engineering	工程；工程学
enhance	提高；增强
enjoy	享受；喜欢
enormous	巨大的；庞大的
enough	足够的；充足的
enquiry	询问；查询
ensure	确保；保证
enter	进入；参加
entertain	娱乐；招待
entertainment	娱乐；消遣
enthusiasm	热情；热忱
enthusiastic	热情的；热烈的
entire	整个的；全部的
entirely	完全地；全部地
entrance	入口；进入
entry	进入；入口
environment	环境
environmental	环境的
episode	一集；插曲
equal	相等的；平等的
equally	同样地；相等地
equipment	设备；装备
error	错误；过失
escape	逃跑；逃避
especially	尤其；特别
essay	散文；短文
essential	必要的；本质的
establish	建立；确立
estate	房地产；庄园
estimate	估计；估算
ethical	道德的；伦理的
euro	欧元
evaluate	评价；评估
even	甚至；即使
evening	晚上；傍晚
event	事件；活动
eventually	最终；终于
ever	曾经；从来
every	每个；每一
everybody	每个人；人人
everyday	日常的；每天的
everyone	每个人；人人
everything	一切；每件事
everywhere	到处；处处
evidence	证据；证明
evil	邪恶的；罪恶
exact	精确的；确切的
exactly	确切地；正是
exam	考试
examination	考试；检查
examine	检查；考试
example	例子；榜样
excellent	极好的；优秀的
except	除了…之外
exchange	交换；交流
excited	兴奋的；激动的
excitement	兴奋；激动
exciting	令人兴奋的；激动人心的
excuse	借口；原谅
executive	行政的；高管
exercise	锻炼；练习
exhibition	展览；展会
exist	存在；生存
existence	存在；生存
expand	扩大；扩展
expect	期望；预料
expectation	期望；预期
expected	预期的；预料的
expedition	远征；探险
expense	费用；花费
expensive	昂贵的；贵的
experience	经历；经验
experienced	有经验的；熟练的
experiment	实验；试验
expert	专家；熟练的
explain	解释；说明
explanation	解释；说明
explode	爆炸；爆发
exploration	探索；探险
explore	探索；探险
explosion	爆炸；爆发
export	出口；输出
expose	暴露；揭露
express	表达；快递
expression	表达；表情
extend	延伸；扩大
extent	程度；范围
external	外部的；外面的
extra	额外的；附加的
extraordinary	非凡的；特别的
extreme	极端的；极度的
extremely	极其；非常
eye	眼睛；眼光
face	脸；面对
facility	设施；设备
fact	事实；真相
factor	因素；要素
factory	工厂
fail	失败；不及格
failure	失败；故障
fair	公平的；集市
fairly	相当地；公平地
faith	信仰；信念
fall	落下；秋天
false	错误的；假的
familiar	熟悉的；常见的
family	家庭；家人
famous	著名的；出名的
fan	粉丝；扇子
fancy	想象的；精致的
fantastic	极好的；奇妙的
far	远的；遥远地
farm	农场；农庄
farmer	农民；农场主
farming	农业；耕作
fascinating	迷人的；极有吸引力的
fashion	时尚；时装
fashionable	流行的；时髦的
fast	快的；迅速地
fasten	系紧；扣好
fat	胖的；脂肪
father	父亲；爸爸
fault	过错；缺点
favour	恩惠；支持
favourite	最喜欢的；最喜爱的
fear	害怕；恐惧
feather	羽毛
feature	特征；特色
February	二月
fee	费用；酬金
feed	喂；喂养
feedback	反馈；反馈意见
feel	感觉；觉得
feeling	感觉；感情
fellow	家伙；同伴
female	女性的；雌性的
fence	栅栏；篱笆
festival	节日；庆典
few	很少的；几个
fiction	小说；虚构
field	田野；领域
fifteen	十五
fifth	第五
fifty	五十
fight	打架；战斗
fighting	战斗；打架
figure	数字；人物
file	文件；档案
fill	填满；装满
film	电影；胶卷
final	最终的；决赛
finally	最后；终于
finance	金融；财政
financial	金融的；财务的
find	找到；发现
finding	发现；调查结果
fine	好的；罚款
finger	手指
finish	完成；结束
fire	火；解雇
firm	坚定的；公司
first	第一；首先
firstly	首先；第一
fish	鱼；钓鱼
fishing	钓鱼；捕鱼
fit	适合的；健康的
fitness	健康；适合
five	五
fix	修理；固定
fixed	固定的；不变的
flag	旗帜；国旗
flame	火焰；热情
flash	闪光；闪现
flat	平的；公寓
flexible	灵活的；柔韧的
flight	航班；飞行
float	漂浮；浮动
flood	洪水；淹没
floor	地板；楼层
flour	面粉
flow	流动；流量
flower	花；花朵
flu	流感
fly	飞；飞行
flying	飞行的
focus	焦点；集中
fold	折叠；对折
folding	可折叠的
folk	民间的；人们
follow	跟随；遵循
following	接下来的；以下的
food	食物；食品
foot	脚；英尺
football	足球
for	为了；对于
force	力量；强迫
foreign	外国的；外交的
forest	森林
forever	永远；永久
forget	忘记；遗忘
forgive	原谅；宽恕
fork	叉子；岔路
form	形式；表格
formal	正式的；正规的
former	以前的；前者
fortunately	幸运地；幸亏
fortune	财富；运气
forty	四十
forward	向前；前进
found	建立；创立
four	四
fourteen	十四
fourth	第四
frame	框架；结构
free	自由的；免费的
freedom	自由
freeze	冻结；结冰
frequency	频率；频繁
frequently	频繁地；经常
fresh	新鲜的；清新的
Friday	星期五
fridge	冰箱
friend	朋友
friendly	友好的；友善的
friendship	友谊；友情
frighten	使害怕；吓唬
frightened	害怕的；受惊的
frightening	令人恐惧的；吓人的
frog	青蛙
from	从；来自
front	前面；正面
frozen	冷冻的；冻结的
fruit	水果；果实
fry	油炸；油煎
fuel	燃料
full	满的；完全的
fully	完全地；充分地
fun	乐趣；有趣的
function	功能；作用
fund	基金；资金
fundamental	基本的；根本的
funding	资金；拨款
funny	有趣的；滑稽的
fur	毛皮；软毛
furniture	家具
further	进一步的；更远的
furthermore	此外；而且
future	未来；将来
gain	获得；增加
gallery	画廊；美术馆
game	游戏；比赛
gang	帮派；一伙人
gap	差距；缺口
garage	车库；汽修厂
garden	花园；菜园
gas	气体；汽油
gate	大门；门口
gather	聚集；收集
general	一般的；总的
generally	通常；一般地
generate	产生；生成
generation	一代人；产生
generous	慷慨的；大方的
genre	类型；流派
gentle	温和的；轻柔的
gentleman	绅士；先生
geography	地理；地理学
get	得到；变得
ghost	鬼；幽灵
giant	巨人；巨大的
gift	礼物；天赋
girl	女孩；姑娘
girlfriend	女朋友
give	给；给予
glad	高兴的；乐意的
glass	玻璃；玻璃杯
global	全球的；全球性的
glove	手套
go	去；走
goal	目标；进球
god	上帝；神
gold	金；黄金
golf	高尔夫球
good	好的；优良的
goodbye	再见
goods	商品；货物
govern	统治；管理
government	政府；内阁
grab	抓住；抢夺
grade	年级；等级
gradually	逐渐地；逐步地
graduate	毕业；毕业生
grain	谷物；粮食
grand	宏伟的；盛大的
grandfather	祖父；外祖父
grandmother	祖母；外祖母
grandparent	祖父母；外祖父母
grant	授予；同意
grass	草；草地
grateful	感激的；感谢的
great	伟大的；极好的
green	绿色的；环保的
greet	问候；迎接
grey	灰色的；灰白的
ground	地面；土地
group	组；团体
grow	生长；成长
growth	增长；成长
guarantee	保证；担保
guard	守卫；警卫
guess	猜测；猜想
guest	客人；宾客
guide	指导；向导
guilty	有罪的；内疚的
guitar	吉他
gun	枪；炮
guy	家伙；人
gym	健身房；体育馆
habit	习惯；习性
hair	头发；毛发
half	一半；半
hall	大厅；礼堂
hand	手；传递
handle	处理；把手
hang	悬挂；挂
happen	发生；碰巧
happily	高兴地；幸福地
happiness	幸福；快乐
happy	快乐的；高兴的
hard	困难的；努力地
hardly	几乎不；简直不
harm	伤害；损害
harmful	有害的
hat	帽子
hate	讨厌；憎恨
have	有；吃
have to	必须；不得不
have	有；吃
he	他
head	头；头部
headache	头痛；麻烦事
headline	标题；新闻提要
health	健康；卫生
healthy	健康的；健壮的
hear	听见；听说
hearing	听力；听觉
heart	心；心脏
heat	热；加热
heating	暖气；供暖
heaven	天堂；天空
heavily	沉重地；大量地
heavy	重的；沉重的
heel	脚后跟；鞋跟
height	高度；身高
helicopter	直升机
hell	地狱；该死
hello	你好；喂
help	帮助；帮忙
helpful	有帮助的；有益的
her	她；她的
here	这里；在这里
hero	英雄；男主角
hers	她的
herself	她自己
hesitate	犹豫；迟疑
hey	嘿；喂
hi	嗨；你好
hide	隐藏；躲藏
high	高的；高级的
highlight	突出；强调
highly	高度地；非常
hill	小山；山丘
him	他
himself	他自己
hire	雇用；租用
his	他的
historic	有历史意义的
historical	历史的；史学的
history	历史；历史学
hit	打；击中
hobby	爱好；嗜好
hockey	曲棍球
hold	握住；举行
hole	洞；孔
holiday	假期；假日
hollow	空的；空心的
holy	神圣的；圣洁的
home	家；在家
homework	家庭作业
honest	诚实的；老实的
honour	荣誉；尊敬
hope	希望；期望
horrible	可怕的；糟糕的
horror	恐怖；震惊
horse	马
hospital	医院
host	主人；主持人
hot	热的；热门的
hotel	旅馆；酒店
hour	小时；时间
house	房子；住宅
household	家庭；家用的
housing	住房；房屋
how	怎样；如何
however	然而；可是
huge	巨大的；庞大的
human	人的；人类
humorous	幽默的；诙谐的
humour	幽默；诙谐
hundred	一百；许多
hungry	饥饿的；渴望的
hunt	打猎；搜寻
hunting	打猎；搜索
hurricane	飓风
hurry	匆忙；赶快
hurt	伤害；受伤
husband	丈夫
I	我
ice	冰；冰块
ice cream	冰淇淋
idea	主意；想法
ideal	理想的；完美的
identify	识别；认出
identity	身份；同一性
if	如果；是否
ignore	忽视；不理睬
ill	生病的；坏的
illegal	非法的；违法的
illness	疾病；生病
illustrate	说明；图解
illustration	插图；说明
image	图像；形象
imaginary	想象的；虚构的
imagination	想象力；想象
imagine	想象；设想
immediate	立即的；直接的
immediately	立即；马上
immigrant	移民
impact	影响；冲击
impatient	不耐烦的；急躁的
imply	暗示；意味着
import	进口；输入
importance	重要性；重要
important	重要的；重大的
impose	强加；征收
impossible	不可能的
impress	给…留下深刻印象
impressed	印象深刻的
impression	印象；感觉
impressive	令人印象深刻的
improve	改善；提高
improvement	改进；改善
in	在…里面；在
inch	英寸
incident	事件；事变
include	包括；包含
included	包括在内的
including	包括；包含
income	收入；所得
increase	增加；增长
increasingly	越来越多地；日益
incredible	难以置信的；极好的
incredibly	难以置信地；非常
indeed	确实；的确
independent	独立的；自主的
indicate	表明；指示
indirect	间接的；迂回的
individual	个人的；单独的
indoor	室内的
indoors	在室内
industrial	工业的；产业的
industry	工业；行业
infection	感染；传染
influence	影响；势力
